Département - commune;Département;Population sans doubles comptes 1999;Département - commune;Département;Population sans doubles comptes 1999
80169;Cannessières;85;;;
80170;Cantigny;124;;;
80171;Caours;592;;;
80172;Cappy;485;;;
80173;Cardonnette;417;;;
80174;Le Cardonnois;50;;;
80175;Carnoy;85;;;
80176;Carrépuis;218;;;
80177;Cartigny;701;;;
80179;Caulières;186;;;
80180;Cavillon;94;;;
80181;Cayeux-en-Santerre;79;;;
80182;Cayeux-sur-Mer;2 781;;;
80183;Cerisy-Buleux;260;;;
80184;Cerisy;390;;;
80185;Champien;249;;;
80186;Chaulnes;1 901;;;
80187;La Chaussée-Tirancourt;687;;;
80188;Chaussoy-Epagny;622;;;
80189;La Chavatte;39;;;
80190;Chépy;1 277;;;
80191;Chilly;166;;;
80192;Chipilly;135;;;
80193;Chirmont;108;;;
80194;Chuignes;127;;;
80195;Chuignolles;137;;;
80196;Citerne;262;;;
80197;Cizancourt;37;;;
80198;Clairy-Saulchoix;390;;;
80199;Cléry-sur-Somme;514;;;
80200;Cocquerel;172;;;
80201;Coigneux;50;;;
80202;Coisy;246;;;
80203;Colincamps;88;;;
80204;Combles;676;;;
80205;Condé-Folie;816;;;
80206;Contalmaison;98;;;
80207;Contay;353;;;
80208;Conteville;172;;;
80209;Contoire;340;;;
80210;Contre;91;;;
80211;Conty;1 659;;;
80212;Corbie;6 317;;;
80213;Cottenchy;372;;;
80214;Coullemelle;236;;;
80215;Coulonvillers;226;;;
80216;Courcelette;133;;;
80217;Courcelles-au-Bois;74;;;
80218;Courcelles-sous-Moyencourt;141;;;
80219;Courcelles-sous-Thoix;55;;;
80220;Courtemanche;83;;;
80221;Cramont;262;;;
80222;Crécy-en-Ponthieu;1 577;;;
80223;Crémery;68;;;
80224;Cressy-Omencourt;106;;;
80225;Creuse;193;;;
80226;Croix-Moligneaux;308;;;
80227;Croixrault;355;;;
80228;Le Crotoy;2 439;;;
80229;Crouy-Saint-Pierre;303;;;
80230;Curchy;297;;;
80231;Curlu;111;;;
80232;Damery;179;;;
80233;Dancourt-Popincourt;128;;;
80234;Daours;768;;;
80235;Dargnies;1 443;;;
80236;Davenescourt;469;;;
80237;Démuin;431;;;
80238;Dernancourt;437;;;
80239;Devise;76;;;
80240;Doingt;1 383;;;
80241;Domart-en-Ponthieu;1 126;;;
80242;Domart-sur-la-Luce;425;;;
80243;Domesmont;44;;;
80244;Dominois;141;;;
80245;Domléger-Longvillers;267;;;
80246;Dommartin;387;;;
80247;Dompierre-Becquincourt;642;;;
80248;Dompierre-sur-Authie;404;;;
80249;Domqueur;262;;;
80250;Domvast;212;;;
80251;Doudelainville;194;;;
80252;Douilly;222;;;
80253;Doullens;6 279;;;
80256;Dreuil-lès-Amiens;1 476;;;
80258;Driencourt;85;;;
